id,timestamp,topic,value
127,"2026-07-17 22:15:59",tas_ai_surya_fsm_uksw/suhu,25.5
128,"2026-07-17 22:15:59",tas_ai_surya_fsm_uksw/kelembaban,80.9
129,"2026-07-17 22:16:19",tas_ai_surya_fsm_uksw/suhu,25.5
130,"2026-07-17 22:16:19",tas_ai_surya_fsm_uksw/kelembaban,80.9
131,"2026-07-17 22:16:39",tas_ai_surya_fsm_uksw/suhu,25.5
132,"2026-07-17 22:16:39",tas_ai_surya_fsm_uksw/kelembaban,80.9
133,"2026-07-17 22:16:59",tas_ai_surya_fsm_uksw/suhu,25.5
134,"2026-07-17 22:16:59",tas_ai_surya_fsm_uksw/kelembaban,80.9
135,"2026-07-17 22:17:19",tas_ai_surya_fsm_uksw/suhu,25.5
136,"2026-07-17 22:17:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
137,"2026-07-17 22:17:39",tas_ai_surya_fsm_uksw/suhu,25.5
138,"2026-07-17 22:17:39",tas_ai_surya_fsm_uksw/kelembaban,81.1
139,"2026-07-17 22:17:59",tas_ai_surya_fsm_uksw/suhu,25.5
140,"2026-07-17 22:17:59",tas_ai_surya_fsm_uksw/kelembaban,81.2
141,"2026-07-17 22:18:19",tas_ai_surya_fsm_uksw/suhu,25.5
142,"2026-07-17 22:18:19",tas_ai_surya_fsm_uksw/kelembaban,81.1
143,"2026-07-17 22:18:39",tas_ai_surya_fsm_uksw/suhu,25.5
144,"2026-07-17 22:18:39",tas_ai_surya_fsm_uksw/kelembaban,81.0
145,"2026-07-17 22:18:59",tas_ai_surya_fsm_uksw/suhu,25.5
146,"2026-07-17 22:18:59",tas_ai_surya_fsm_uksw/kelembaban,81.0
147,"2026-07-17 22:19:19",tas_ai_surya_fsm_uksw/suhu,25.5
148,"2026-07-17 22:19:19",tas_ai_surya_fsm_uksw/kelembaban,81.1
149,"2026-07-17 22:19:39",tas_ai_surya_fsm_uksw/suhu,25.5
150,"2026-07-17 22:19:39",tas_ai_surya_fsm_uksw/kelembaban,81.1
151,"2026-07-17 22:19:59",tas_ai_surya_fsm_uksw/suhu,25.5
152,"2026-07-17 22:19:59",tas_ai_surya_fsm_uksw/kelembaban,81.0
153,"2026-07-17 22:20:19",tas_ai_surya_fsm_uksw/suhu,25.5
154,"2026-07-17 22:20:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
155,"2026-07-17 22:20:39",tas_ai_surya_fsm_uksw/suhu,25.5
156,"2026-07-17 22:20:39",tas_ai_surya_fsm_uksw/kelembaban,81.0
